model name,result type,n_examples,accuracy,precision,recall,f1,roc_auc,classification_report_accuracy,classification_report_macro_avg_f1_score,classification_report_macro_avg_precision,classification_report_macro_avg_recall,classification_report_macro_avg_support,classification_report_negative_f1_score,classification_report_negative_precision,classification_report_negative_recall,classification_report_negative_support,classification_report_positive_f1_score,classification_report_positive_precision,classification_report_positive_recall,classification_report_positive_support,classification_report_weighted_avg_f1_score,classification_report_weighted_avg_precision,classification_report_weighted_avg_recall,classification_report_weighted_avg_support,confusion_matrix_0_0,confusion_matrix_0_1,confusion_matrix_1_0,confusion_matrix_1_1
small_naive_bayes_baseline_b,validation,500,0.824,0.8375,0.804,0.8204,0.8763,0.824,0.8239295718287314,0.8245192307692308,0.8240000000000001,500.0,0.8274509803921568,0.8115384615384615,0.844,250.0,0.8204081632653061,0.8375,0.804,250.0,0.8239295718287315,0.8245192307692307,0.824,500.0,211,39,49,201
small_naive_bayes_baseline_b,test,5000,0.812,0.8482,0.76,0.8017,0.8963,0.812,0.8114902696892397,0.8154114906832298,0.812,5000.0,0.8212927756653993,0.782608695652174,0.864,2500.0,0.8016877637130801,0.8482142857142857,0.76,2500.0,0.8114902696892398,0.8154114906832298,0.812,5000.0,2160,340,600,1900
small_naive_bayes_baseline_c,validation,500,0.816,0.8292,0.796,0.8122,0.8779,0.816,0.8159263705482193,0.8165064102564104,0.8160000000000001,500.0,0.8196078431372549,0.8038461538461539,0.836,250.0,0.8122448979591836,0.8291666666666667,0.796,250.0,0.8159263705482193,0.8165064102564104,0.816,500.0,209,41,51,199
small_naive_bayes_baseline_c,test,5000,0.8132,0.8496,0.7612,0.803,0.8953,0.8132,0.812693523286968,0.8166246118012422,0.8131999999999999,5000.0,0.8224334600760457,0.783695652173913,0.8652,2500.0,0.8029535864978903,0.8495535714285715,0.7612,2500.0,0.812693523286968,0.8166246118012422,0.8132,5000.0,2163,337,597,1903
small_tfidf_logreg_main_a,validation,500,0.828,0.8228,0.836,0.8294,0.9039,0.828,0.827988991295443,0.8280839895013123,0.828,500.0,0.8266129032258065,0.8333333333333334,0.82,250.0,0.8293650793650794,0.8228346456692913,0.836,250.0,0.8279889912954429,0.8280839895013123,0.828,500.0,205,45,41,209
small_tfidf_logreg_main_a,test,5000,0.8404,0.8401,0.8408,0.8405,0.9184,0.8404,0.840399974463996,0.8404002178561394,0.8404,5000.0,0.8403361344537815,0.8406725380304243,0.84,2500.0,0.8404638144742104,0.8401278976818545,0.8408,2500.0,0.8403999744639962,0.8404002178561394,0.8404,5000.0,2100,400,398,2102
small_tfidf_logreg_main_b,validation,500,0.822,0.8038,0.852,0.8272,0.9082,0.822,0.8218396556901211,0.8231633881975111,0.8220000000000001,500.0,0.8164948453608247,0.8425531914893617,0.792,250.0,0.8271844660194175,0.8037735849056604,0.852,250.0,0.8218396556901212,0.823163388197511,0.822,500.0,198,52,37,213
small_tfidf_logreg_main_b,test,5000,0.8514,0.8457,0.8596,0.8526,0.9259,0.8514,0.8513900074641019,0.8514945379709327,0.8513999999999999,5000.0,0.8501714055253076,0.857259048393656,0.8432,2500.0,0.8526086094028963,0.8457300275482094,0.8596,2500.0,0.851390007464102,0.8514945379709327,0.8514,5000.0,2108,392,351,2149
small_tfidf_logreg_main_c,validation,500,0.808,0.7962,0.828,0.8118,0.904,0.808,0.8079231692677071,0.8084935897435896,0.808,500.0,0.8040816326530612,0.8208333333333333,0.788,250.0,0.8117647058823529,0.7961538461538461,0.828,250.0,0.807923169267707,0.8084935897435896,0.808,500.0,197,53,43,207
small_tfidf_logreg_main_c,test,5000,0.8472,0.8423,0.8544,0.8483,0.9248,0.8472,0.8471920784373462,0.8472720103240607,0.8472,5000.0,0.8460918614020951,0.8522727272727273,0.84,2500.0,0.8482922954725973,0.8422712933753943,0.8544,2500.0,0.8471920784373462,0.8472720103240609,0.8472,5000.0,2100,400,364,2136
